skill	fixture_key	game_scores_A_minus_D	game_n	game_mean	game_sd	candidate	deterministic	sim_n	sim_mean	sim_sd	central95_low	central95_high	p	individual_score_errors_if_deterministic	initial_attacker	initial_defender
hero:Lynn:SongOfLion	testcases/emulator_verified/logan_lynn_combo.json#0	-553	1	-553		current	False	1000	-550.973	1.748521755177303	-555	-547	0.249938		1800	600
hero:Lynn:SongOfLion	testcases/emulator_verified/logan_lynn_combo.json#0	-553	1	-553		omit	False	1000	-546	0	-546	-546	5e-05		1800	600
hero:Lynn:SongOfLion	testcases/emulator_verified/logan_lynn_combo.json#0	-553	1	-553		marksman_only	False	1000	-549.876	1.7150992873782982	-552	-547	0.00195		1800	600
hero:Lynn:SongOfLion	testcases/emulator_verified/logan_lynn_combo.json#0	-553	1	-553		hero_damage_bucket	False	1000	-550.973	1.748521755177303	-555	-547	0.249938		1800	600
hero:Lynn:SongOfLion	testcases/emulator_verified/logan_lynn_combo.json#1	552,549	2	550.5	2.1213203435596424	current	False	1000	550.946	1.8128348988174225	547	555	0.861557		600	1800
hero:Lynn:SongOfLion	testcases/emulator_verified/logan_lynn_combo.json#1	552,549	2	550.5	2.1213203435596424	omit	False	1000	546	0	546	546	5e-05		600	1800
hero:Lynn:SongOfLion	testcases/emulator_verified/logan_lynn_combo.json#1	552,549	2	550.5	2.1213203435596424	marksman_only	False	1000	549.898	1.7368398350488876	547	552	0.914554		600	1800
hero:Lynn:SongOfLion	testcases/emulator_verified/logan_lynn_combo.json#1	552,549	2	550.5	2.1213203435596424	hero_damage_bucket	False	1000	550.946	1.8128348988174225	547	555	0.861557		600	1800
hero:Lynn:SongOfLion	testcases/emulator_verified/logan_lynn_combo.json#2	552,550	2	551	1.4142135623730951	current	False	1000	550.982	1.7913360614035936	547	555	0.957002		600	1800
hero:Lynn:SongOfLion	testcases/emulator_verified/logan_lynn_combo.json#2	552,550	2	551	1.4142135623730951	omit	False	1000	546	0	546	546	5e-05		600	1800
